t,x,u,y,v
0.000000000000000e+00,9.940000000000000e-01,0.000000000000000e+00,0.000000000000000e+00,-2.001585106379082e+00
7.517290852813385e-06,9.939999910843937e-01,-2.372024159839123e-03,-1.504649033330417e-05,-2.001582281691251e+00
2.611272590979386e-05,9.939998924208745e-01,-8.239498852908724e-03,-5.226654659596720e-05,-2.001551023159257e+00
4.467009333591669e-05,9.939996851906068e-01,-1.409438706094020e-02,-8.940950842071149e-05,-2.001485371826525e+00
6.322739871795219e-05,9.939993693187524e-01,-1.994827298076634e-02,-1.265508084539492e-04,-2.001385310945329e+00
8.178900641297299e-05,9.939989447158155e-01,-2.580212500145730e-02,-1.636985424898874e-04,-2.001250822781741e+00
1.003418397503552e-04,9.939984117497715e-01,-3.165141227780648e-02,-2.008259028437844e-04,-2.001082038130520e+00
1.189033438333574e-04,9.939977699575385e-01,-3.750122790016819e-02,-2.379671624374595e-04,-2.000878828227204e+00
1.374691512027688e-04,9.939970194210008e-01,-4.334978655583908e-02,-2.751129409187177e-04,-2.000641240560423e+00
1.560436353812692e-04,9.939961599017808e-01,-4.919805699685698e-02,-3.122713468084846e-04,-2.000369224892618e+00
1.746180574584548e-04,9.939951917885798e-01,-5.504288012880669e-02,-3.494242575215154e-04,-2.000062933076488e+00
1.931967858169485e-04,9.939941148839466e-01,-6.088522469535210e-02,-3.865797724816362e-04,-1.999722335078968e+00
2.117885787802289e-04,9.939929286029813e-01,-6.672743539391093e-02,-4.237547626457401e-04,-1.999347282096217e+00
2.303846820520718e-04,9.939916334346361e-01,-7.256635212110464e-02,-4.609310782715841e-04,-1.998937968543466e+00
2.489850966317763e-04,9.939902293935243e-01,-7.840156979993158e-02,-4.981080811516382e-04,-1.998494442384684e+00
2.675898235188729e-04,9.939887165018140e-01,-8.423268434124177e-02,-5.352851335826516e-04,-1.998016757552253e+00
2.862164277275970e-04,9.939870932073649e-01,-9.006478927820741e-02,-5.724966826790597e-04,-1.997504474850228e+00
3.048561302075164e-04,9.939853600823415e-01,-9.589471997613537e-02,-6.097245299020782e-04,-1.996957829587477e+00
3.234913928100127e-04,9.939835188023539e-01,-1.017165890375927e-01,-6.469330078798074e-04,-1.996377408026315e+00
3.421397597723070e-04,9.939815676863930e-01,-1.075354767142870e-01,-6.841565076372714e-04,-1.995762741579452e+00
3.608100553726476e-04,9.939795056411208e-01,-1.133537215094402e-01,-7.214119802190759e-04,-1.995113551500689e+00
3.794846794815485e-04,9.939773345246707e-01,-1.191654295092535e-01,-7.586636502958561e-04,-1.994430491820810e+00
3.981812631043074e-04,9.939750522091136e-01,-1.249756789351789e-01,-7.959460315068838e-04,-1.993712965766393e+00
4.168909942079475e-04,9.939726596229306e-01,-1.307813175065652e-01,-8.332408859487017e-04,-1.992961341905009e+00
4.356138820378079e-04,9.939701567022792e-01,-1.365819410652178e-01,-8.705475748695088e-04,-1.992175680094473e+00
4.543676615669511e-04,9.939675408671211e-01,-1.423826246292395e-01,-9.079007575569669e-04,-1.991355254934984e+00
