t,x,ro,u,p,e
0.000499415,-9.9,13,0,10,116.913
0.000499415,-9.7,13,0,10,116.913
0.000499415,-9.5,13,0,10,116.913
0.000499415,-9.3,13,0,10,116.913
0.000499415,-9.1,13,0,10,116.913
0.000499415,-8.9,13,0,10,116.913
0.000499415,-8.7,13,0,10,116.913
0.000499415,-8.5,13,0,10,116.913
0.000499415,-8.3,13,0,10,116.913
0.000499415,-8.1,13,0,10,116.913
0.000499415,-7.9,13,0,10,116.913
0.000499415,-7.7,13,0,10,116.913
0.000499415,-7.5,13,0,10,116.913
0.000499415,-7.3,13,0,10,116.913
0.000499415,-7.1,13,0,10,116.913
0.000499415,-6.9,13,0,10,116.913
0.000499415,-6.7,13,0,10,116.913
0.000499415,-6.5,13,0,10,116.913
0.000499415,-6.3,13,0,10,116.913
0.000499415,-6.1,13,0,10,116.913
0.000499415,-5.9,13,0,10,116.913
0.000499415,-5.7,13,0,10,116.913
0.000499415,-5.5,13,0,10,116.913
0.000499415,-5.3,13,0,10,116.913
0.000499415,-5.1,13,0,10,116.913
0.000499415,-4.9,13,0,10,116.913
0.000499415,-4.7,13,0,10,116.913
0.000499415,-4.5,13,0,10,116.913
0.000499415,-4.3,13,0,10,116.913
0.000499415,-4.1,13,0,10,116.913
0.000499415,-3.9,13,0,10,116.913
0.000499415,-3.7,13,0,10,116.913
0.000499415,-3.5,13,0,10,116.913
0.000499415,-3.3,13,0,10,116.913
0.000499415,-3.1,13,0,10,116.913
0.000499415,-2.9,13,0,10,116.913
0.000499415,-2.7,13,0,10,116.913
0.000499415,-2.5,13,0,10,116.913
0.000499415,-2.3,13,0,10,116.913
0.000499415,-2.1,13,0,10,116.913
0.000499415,-1.9,13,0,10,116.913
0.000499415,-1.7,13,0,10,116.913
0.000499415,-1.5,13,0,10,116.913
0.000499415,-1.3,13,0,10,116.913
0.000499415,-1.1,13,0,10,116.913
0.000499415,-0.9,13,0,10,116.913
0.000499415,-0.7,13,0,10,116.913
0.000499415,-0.5,13,0,10,116.913
0.000499415,-0.3,13,0,10,116.913
0.000499415,-0.1,9.14756,151.789,5.98404,99.4253
0.000499415,0.1,5.15244,172.47,3.81842,112.636
0.000499415,0.3,1.3,0,1,116.913
0.000499415,0.5,1.3,0,1,116.913
0.000499415,0.7,1.3,0,1,116.913
0.000499415,0.9,1.3,0,1,116.913
0.000499415,1.1,1.3,0,1,116.913
0.000499415,1.3,1.3,0,1,116.913
0.000499415,1.5,1.3,0,1,116.913
0.000499415,1.7,1.3,0,1,116.913
0.000499415,1.9,1.3,0,1,116.913
0.000499415,2.1,1.3,0,1,116.913
0.000499415,2.3,1.3,0,1,116.913
0.000499415,2.5,1.3,0,1,116.913
0.000499415,2.7,1.3,0,1,116.913
0.000499415,2.9,1.3,0,1,116.913
0.000499415,3.1,1.3,0,1,116.913
0.000499415,3.3,1.3,0,1,116.913
0.000499415,3.5,1.3,0,1,116.913
0.000499415,3.7,1.3,0,1,116.913
0.000499415,3.9,1.3,0,1,116.913
0.000499415,4.1,1.3,0,1,116.913
0.000499415,4.3,1.3,0,1,116.913
0.000499415,4.5,1.3,0,1,116.913
0.000499415,4.7,1.3,0,1,116.913
0.000499415,4.9,1.3,0,1,116.913
0.000499415,5.1,1.3,0,1,116.913
0.000499415,5.3,1.3,0,1,116.913
0.000499415,5.5,1.3,0,1,116.913
0.000499415,5.7,1.3,0,1,116.913
0.000499415,5.9,1.3,0,1,116.913
0.000499415,6.1,1.3,0,1,116.913
0.000499415,6.3,1.3,0,1,116.913
0.000499415,6.5,1.3,0,1,116.913
0.000499415,6.7,1.3,0,1,116.913
0.000499415,6.9,1.3,0,1,116.913
0.000499415,7.1,1.3,0,1,116.913
0.000499415,7.3,1.3,0,1,116.913
0.000499415,7.5,1.3,0,1,116.913
0.000499415,7.7,1.3,0,1,116.913
0.000499415,7.9,1.3,0,1,116.913
0.000499415,8.1,1.3,0,1,116.913
0.000499415,8.3,1.3,0,1,116.913
0.000499415,8.5,1.3,0,1,116.913
0.000499415,8.7,1.3,0,1,116.913
0.000499415,8.9,1.3,0,1,116.913
0.000499415,9.1,1.3,0,1,116.913
0.000499415,9.3,1.3,0,1,116.913
0.000499415,9.5,1.3,0,1,116.913
0.000499415,9.7,1.3,0,1,116.913
0.000499415,9.9,1.3,0,1,116.913
0.000841466,-9.9,13,0,10,116.913
0.000841466,-9.7,13,0,10,116.913
0.000841466,-9.5,13,0,10,116.913
0.000841466,-9.3,13,0,10,116.913
0.000841466,-9.1,13,0,10,116.913
0.000841466,-8.9,13,0,10,116.913
0.000841466,-8.7,13,0,10,116.913
0.000841466,-8.5,13,0,10,116.913
0.000841466,-8.3,13,0,10,116.913
0.000841466,-8.1,13,0,10,116.913
0.000841466,-7.9,13,0,10,116.913
0.000841466,-7.7,13,0,10,116.913
0.000841466,-7.5,13,0,10,116.913
0.000841466,-7.3,13,0,10,116.913
0.000841466,-7.1,13,0,10,116.913
0.000841466,-6.9,13,0,10,116.913
0.000841466,-6.7,13,0,10,116.913
0.000841466,-6.5,13,0,10,116.913
0.000841466,-6.3,13,0,10,116.913
0.000841466,-6.1,13,0,10,116.913
0.000841466,-5.9,13,0,10,116.913
0.000841466,-5.7,13,0,10,116.913
0.000841466,-5.5,13,0,10,116.913
0.000841466,-5.3,13,0,10,116.913
0.000841466,-5.1,13,0,10,116.913
0.000841466,-4.9,13,0,10,116.913
0.000841466,-4.7,13,0,10,116.913
0.000841466,-4.5,13,0,10,116.913
0.000841466,-4.3,13,0,10,116.913
0.000841466,-4.1,13,0,10,116.913
0.000841466,-3.9,13,0,10,116.913
0.000841466,-3.7,13,0,10,116.913
0.000841466,-3.5,13,0,10,116.913
0.000841466,-3.3,13,0,10,116.913
0.000841466,-3.1,13,0,10,116.913
0.000841466,-2.9,13,0,10,116.913
0.000841466,-2.7,13,0,10,116.913
0.000841466,-2.5,13,0,10,116.913
0.000841466,-2.3,13,0,10,116.913
0.000841466,-2.1,13,0,10,116.913
0.000841466,-1.9,13,0,10,116.913
0.000841466,-1.7,13,0,10,116.913
0.000841466,-1.5,13,0,10,116.913
0.000841466,-1.3,13,0,10,116.913
0.000841466,-1.1,13,0,10,116.913
0.000841466,-0.9,13,0,10,116.913
0.000841466,-0.7,13,0,10,116.913
0.000841466,-0.5,13,0,10,116.913
0.000841466,-0.3,11.095,61.884,7.9257,108.572
0.000841466,-0.1,8.28977,133.627,5.07733,93.0896
0.000841466,0.1,6.12867,226.483,4.16155,103.204
0.000841466,0.3,3.08656,212.01,2.71808,133.843
0.000841466,0.5,1.3,0,1,116.913
0.000841466,0.7,1.3,0,1,116.913
0.000841466,0.9,1.3,0,1,116.913
0.000841466,1.1,1.3,0,1,116.913
0.000841466,1.3,1.3,0,1,116.913
0.000841466,1.5,1.3,0,1,116.913
0.000841466,1.7,1.3,0,1,116.913
0.000841466,1.9,1.3,0,1,116.913
0.000841466,2.1,1.3,0,1,116.913
0.000841466,2.3,1.3,0,1,116.913
0.000841466,2.5,1.3,0,1,116.913
0.000841466,2.7,1.3,0,1,116.913
0.000841466,2.9,1.3,0,1,116.913
0.000841466,3.1,1.3,0,1,116.913
0.000841466,3.3,1.3,0,1,116.913
0.000841466,3.5,1.3,0,1,116.913
0.000841466,3.7,1.3,0,1,116.913
0.000841466,3.9,1.3,0,1,116.913
0.000841466,4.1,1.3,0,1,116.913
0.000841466,4.3,1.3,0,1,116.913
0.000841466,4.5,1.3,0,1,116.913
0.000841466,4.7,1.3,0,1,116.913
0.000841466,4.9,1.3,0,1,116.913
0.000841466,5.1,1.3,0,1,116.913
0.000841466,5.3,1.3,0,1,116.913
0.000841466,5.5,1.3,0,1,116.913
0.000841466,5.7,1.3,0,1,116.913
0.000841466,5.9,1.3,0,1,116.913
0.000841466,6.1,1.3,0,1,116.913
0.000841466,6.3,1.3,0,1,116.913
0.000841466,6.5,1.3,0,1,116.913
0.000841466,6.7,1.3,0,1,116.913
0.000841466,6.9,1.3,0,1,116.913
0.000841466,7.1,1.3,0,1,116.913
0.000841466,7.3,1.3,0,1,116.913
0.000841466,7.5,1.3,0,1,116.913
0.000841466,7.7,1.3,0,1,116.913
0.000841466,7.9,1.3,0,1,116.913
0.000841466,8.1,1.3,0,1,116.913
0.000841466,8.3,1.3,0,1,116.913
0.000841466,8.5,1.3,0,1,116.913
0.000841466,8.7,1.3,0,1,116.913
0.000841466,8.9,1.3,0,1,116.913
0.000841466,9.1,1.3,0,1,116.913
0.000841466,9.3,1.3,0,1,116.913
0.000841466,9.5,1.3,0,1,116.913
0.000841466,9.7,1.3,0,1,116.913
0.000841466,9.9,1.3,0,1,116.913
0.00114265,-9.9,13,0,10,116.913
0.00114265,-9.7,13,0,10,116.913
0.00114265,-9.5,13,0,10,116.913
0.00114265,-9.3,13,0,10,116.913
0.00114265,-9.1,13,0,10,116.913
0.00114265,-8.9,13,0,10,116.913
0.00114265,-8.7,13,0,10,116.913
0.00114265,-8.5,13,0,10,116.913
0.00114265,-8.3,13,0,10,116.913
0.00114265,-8.1,13,0,10,116.913
0.00114265,-7.9,13,0,10,116.913
0.00114265,-7.7,13,0,10,116.913
0.00114265,-7.5,13,0,10,116.913
0.00114265,-7.3,13,0,10,116.913
0.00114265,-7.1,13,0,10,116.913
0.00114265,-6.9,13,0,10,116.913
0.00114265,-6.7,13,0,10,116.913
0.00114265,-6.5,13,0,10,116.913
0.00114265,-6.3,13,0,10,116.913
0.00114265,-6.1,13,0,10,116.913
0.00114265,-5.9,13,0,10,116.913
0.00114265,-5.7,13,0,10,116.913
0.00114265,-5.5,13,0,10,116.913
0.00114265,-5.3,13,0,10,116.913
0.00114265,-5.1,13,0,10,116.913
0.00114265,-4.9,13,0,10,116.913
0.00114265,-4.7,13,0,10,116.913
0.00114265,-4.5,13,0,10,116.913
0.00114265,-4.3,13,0,10,116.913
0.00114265,-4.1,13,0,10,116.913
0.00114265,-3.9,13,0,10,116.913
0.00114265,-3.7,13,0,10,116.913
0.00114265,-3.5,13,0,10,116.913
0.00114265,-3.3,13,0,10,116.913
0.00114265,-3.1,13,0,10,116.913
0.00114265,-2.9,13,0,10,116.913
0.00114265,-2.7,13,0,10,116.913
0.00114265,-2.5,13,0,10,116.913
0.00114265,-2.3,13,0,10,116.913
0.00114265,-2.1,13,0,10,116.913
