# t = 129600 s, 1.5 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.50193e+07	148.229
10.101	1.48402e+07	146.461
15.1515	1.46618e+07	144.7
20.202	1.44844e+07	142.95
25.2525	1.43084e+07	141.213
30.303	1.41341e+07	139.493
35.3535	1.39619e+07	137.793
40.404	1.3792e+07	136.117
45.4545	1.36249e+07	134.467
50.5051	1.34607e+07	132.846
55.5556	1.32997e+07	131.258
60.6061	1.31422e+07	129.703
65.6566	1.29884e+07	128.186
70.7071	1.28385e+07	126.706
75.7576	1.26928e+07	125.268
80.8081	1.25512e+07	123.871
85.8586	1.24141e+07	122.518
90.9091	1.22815e+07	121.209
95.9596	1.21536e+07	119.946
101.01	1.20303e+07	118.729
106.061	1.19117e+07	117.559
111.111	1.17979e+07	116.436
116.162	1.16888e+07	115.36
121.212	1.15845e+07	114.33
126.263	1.14849e+07	113.347
131.313	1.13899e+07	112.409
136.364	1.12995e+07	111.517
141.414	1.12135e+07	110.669
146.465	1.11319e+07	109.863
151.515	1.10545e+07	109.1
156.566	1.09813e+07	108.377
161.616	1.0912e+07	107.693
166.667	1.08464e+07	107.046
171.717	1.07845e+07	106.435
176.768	1.0726e+07	105.857
181.818	1.06707e+07	105.312
186.869	1.06185e+07	104.796
191.919	1.05691e+07	104.309
196.97	1.05223e+07	103.847
202.02	1.04779e+07	103.409
207.071	1.04357e+07	102.993
212.121	1.03955e+07	102.596
217.172	1.0357e+07	102.216
222.222	1.03201e+07	101.851
227.273	1.02844e+07	101.499
232.323	1.02498e+07	101.157
237.374	1.0216e+07	100.824
242.424	1.01828e+07	100.496
247.475	1.01499e+07	100.172
252.525	1.01172e+07	99.8491
257.576	1.00844e+07	99.5251
262.626	1.00512e+07	99.1979
267.677	1.00175e+07	98.8649
272.727	9.98295e+06	98.5241
277.778	9.94738e+06	98.173
282.828	9.91054e+06	97.8094
287.879	9.8722e+06	97.431
292.929	9.83214e+06	97.0357
297.98	9.79013e+06	96.6211
303.03	9.74596e+06	96.1851
308.081	9.69939e+06	95.7256
313.131	9.65023e+06	95.2403
318.182	9.59824e+06	94.7273
323.232	9.54324e+06	94.1845
328.283	9.48502e+06	93.6098
333.333	9.42338e+06	93.0016
338.384	9.35815e+06	92.3578
343.434	9.28916e+06	91.6768
348.485	9.21622e+06	90.957
353.535	9.13919e+06	90.1968
358.586	9.05794e+06	89.3949
363.636	8.97232e+06	88.5499
368.687	8.88223e+06	87.6608
373.737	8.78757e+06	86.7266
378.788	8.68826e+06	85.7465
383.838	8.58424e+06	84.7198
388.889	8.47545e+06	83.6462
393.939	8.36189e+06	82.5254
398.99	8.24354e+06	81.3575
404.04	8.12043e+06	80.1424
409.091	7.9926e+06	78.8808
414.141	7.86011e+06	77.5732
419.192	7.72304e+06	76.2205
424.242	7.58152e+06	74.8238
429.293	7.43567e+06	73.3844
434.343	7.28566e+06	71.9038
439.394	7.13166e+06	70.384
444.444	6.97387e+06	68.8268
449.495	6.81254e+06	67.2345
454.545	6.64789e+06	65.6095
459.596	6.48019e+06	63.9545
464.646	6.30974e+06	62.2723
469.697	6.13682e+06	60.5657
474.747	5.96177e+06	58.8381
479.798	5.7849e+06	57.0925
484.848	5.60656e+06	55.3324
489.899	5.42709e+06	53.5613
494.949	5.24687e+06	51.7826
500	5.06625e+06	50
