# t = 604800 s, 7 days
# x[m]	P[Pa]	P[atm]
0	1.51988e+07	150
5.05051	1.50951e+07	148.977
10.101	1.49914e+07	147.953
15.1515	1.48877e+07	146.93
20.202	1.4784e+07	145.907
25.2525	1.46804e+07	144.884
30.303	1.45767e+07	143.861
35.3535	1.44731e+07	142.839
40.404	1.43696e+07	141.817
45.4545	1.42661e+07	140.795
50.5051	1.41626e+07	139.774
55.5556	1.40592e+07	138.753
60.6061	1.39558e+07	137.733
65.6566	1.38525e+07	136.714
70.7071	1.37493e+07	135.695
75.7576	1.36462e+07	134.677
80.8081	1.35431e+07	133.66
85.8586	1.34402e+07	132.644
90.9091	1.33373e+07	131.629
95.9596	1.32345e+07	130.614
101.01	1.31318e+07	129.6
106.061	1.30292e+07	128.588
111.111	1.29267e+07	127.576
116.162	1.28242e+07	126.565
121.212	1.27219e+07	125.556
126.263	1.26197e+07	124.547
131.313	1.25176e+07	123.539
136.364	1.24156e+07	122.533
141.414	1.23137e+07	121.527
146.465	1.22119e+07	120.522
151.515	1.21102e+07	119.519
156.566	1.20086e+07	118.516
161.616	1.19071e+07	117.514
166.667	1.18057e+07	116.513
171.717	1.17044e+07	115.513
176.768	1.16031e+07	114.514
181.818	1.1502e+07	113.515
186.869	1.14009e+07	112.518
191.919	1.12999e+07	111.521
196.97	1.11989e+07	110.525
202.02	1.1098e+07	109.529
207.071	1.09972e+07	108.534
212.121	1.08964e+07	107.539
217.172	1.07957e+07	106.545
222.222	1.0695e+07	105.551
227.273	1.05943e+07	104.558
232.323	1.04937e+07	103.564
237.374	1.0393e+07	102.571
242.424	1.02924e+07	101.578
247.475	1.01918e+07	100.585
252.525	1.00912e+07	99.5924
257.576	9.99058e+06	98.5993
262.626	9.88994e+06	97.6061
267.677	9.78928e+06	96.6127
272.727	9.68859e+06	95.6189
277.778	9.58786e+06	94.6248
282.828	9.48709e+06	93.6303
287.879	9.38626e+06	92.6352
292.929	9.28539e+06	91.6396
297.98	9.18444e+06	90.6434
303.03	9.08343e+06	89.6465
308.081	8.98235e+06	88.6489
313.131	8.88118e+06	87.6504
318.182	8.77993e+06	86.6512
323.232	8.67859e+06	85.651
328.283	8.57715e+06	84.6499
333.333	8.47562e+06	83.6479
338.384	8.37398e+06	82.6448
343.434	8.27224e+06	81.6407
348.485	8.17039e+06	80.6355
353.535	8.06843e+06	79.6292
358.586	7.96635e+06	78.6217
363.636	7.86415e+06	77.6132
368.687	7.76184e+06	76.6034
373.737	7.65942e+06	75.5926
378.788	7.55687e+06	74.5805
383.838	7.4542e+06	73.5673
388.889	7.35142e+06	72.5529
393.939	7.24852e+06	71.5373
398.99	7.1455e+06	70.5206
404.04	7.04237e+06	69.5028
409.091	6.93913e+06	68.4839
414.141	6.83578e+06	67.4639
419.192	6.73232e+06	66.4428
424.242	6.62876e+06	65.4207
429.293	6.5251e+06	64.3977
434.343	6.42134e+06	63.3737
439.394	6.31749e+06	62.3488
444.444	6.21356e+06	61.323
449.495	6.10954e+06	60.2965
454.545	6.00545e+06	59.2692
459.596	5.90129e+06	58.2412
464.646	5.79707e+06	57.2126
469.697	5.69279e+06	56.1835
474.747	5.58846e+06	55.1538
479.798	5.48408e+06	54.1236
484.848	5.37966e+06	53.0931
489.899	5.27521e+06	52.0623
494.949	5.17074e+06	51.0312
500	5.06625e+06	50
