x,y,numerical,analytical
0.0196078,0.0196078,0.302429,0.302428
0.0392157,0.0196078,0.300707,0.300707
0.0588235,0.0196078,0.297845,0.297844
0.0784314,0.0196078,0.293852,0.293851
0.0980392,0.0196078,0.288745,0.288744
0.117647,0.0196078,0.282543,0.282542
0.137255,0.0196078,0.275268,0.275268
0.156863,0.0196078,0.26695,0.266949
0.176471,0.0196078,0.257619,0.257618
0.196078,0.0196078,0.247311,0.24731
0.215686,0.0196078,0.236064,0.236064
0.235294,0.0196078,0.223922,0.223922
0.254902,0.0196078,0.210931,0.210931
0.27451,0.0196078,0.19714,0.197139
0.294118,0.0196078,0.182601,0.1826
0.313725,0.0196078,0.167369,0.167368
0.333333,0.0196078,0.151502,0.151502
0.352941,0.0196078,0.13506,0.13506
0.372549,0.0196078,0.118107,0.118106
0.392157,0.0196078,0.100705,0.100705
0.411765,0.0196078,0.0829209,0.0829207
0.431373,0.0196078,0.0648225,0.0648224
0.45098,0.0196078,0.0464782,0.0464781
0.470588,0.0196078,0.0279577,0.0279576
0.490196,0.0196078,0.00933102,0.009331
0.509804,0.0196078,-0.00933102,-0.009331
0.529412,0.0196078,-0.0279577,-0.0279576
0.54902,0.0196078,-0.0464782,-0.0464781
0.568627,0.0196078,-0.0648225,-0.0648224
0.588235,0.0196078,-0.0829209,-0.0829207
0.607843,0.0196078,-0.100705,-0.100705
0.627451,0.0196078,-0.118107,-0.118106
0.647059,0.0196078,-0.13506,-0.13506
0.666667,0.0196078,-0.151502,-0.151502
0.686275,0.0196078,-0.167369,-0.167368
0.705882,0.0196078,-0.182601,-0.1826
0.72549,0.0196078,-0.19714,-0.197139
0.745098,0.0196078,-0.210931,-0.210931
0.764706,0.0196078,-0.223922,-0.223922
0.784314,0.0196078,-0.236064,-0.236064
0.803922,0.0196078,-0.247311,-0.24731
0.823529,0.0196078,-0.257619,-0.257618
0.843137,0.0196078,-0.26695,-0.266949
0.862745,0.0196078,-0.275268,-0.275268
0.882353,0.0196078,-0.282543,-0.282542
0.901961,0.0196078,-0.288745,-0.288744
0.921569,0.0196078,-0.293852,-0.293851
0.941176,0.0196078,-0.297845,-0.297844
0.960784,0.0196078,-0.300707,-0.300707
0.980392,0.0196078,-0.302429,-0.302428
0.0196078,0.0392157,0.576395,0.576393
0.0392157,0.0392157,0.573113,0.573112
0.0588235,0.0392157,0.567657,0.567656
0.0784314,0.0392157,0.560048,0.560047
0.0980392,0.0392157,0.550314,0.550313
0.117647,0.0392157,0.538493,0.538492
0.137255,0.0392157,0.52463,0.524629
0.156863,0.0392157,0.508776,0.508775
0.176471,0.0392157,0.490992,0.490991
0.196078,0.0392157,0.471346,0.471345
0.215686,0.0392157,0.449911,0.44991
0.235294,0.0392157,0.42677,0.426769
0.254902,0.0392157,0.40201,0.40201
0.27451,0.0392157,0.375726,0.375725
0.294118,0.0392157,0.348015,0.348015
0.313725,0.0392157,0.318985,0.318985
0.333333,0.0392157,0.288745,0.288744
0.352941,0.0392157,0.257409,0.257409
0.372549,0.0392157,0.225097,0.225097
0.392157,0.0392157,0.191932,0.191931
0.411765,0.0392157,0.158038,0.158037
0.431373,0.0392157,0.123544,0.123544
0.45098,0.0392157,0.0885821,0.088582
0.470588,0.0392157,0.0532841,0.0532839
0.490196,0.0392157,0.0177838,0.0177838
0.509804,0.0392157,-0.0177838,-0.0177838
0.529412,0.0392157,-0.0532841,-0.0532839
0.54902,0.0392157,-0.0885821,-0.088582
0.568627,0.0392157,-0.123544,-0.123544
0.588235,0.0392157,-0.158038,-0.158037
0.607843,0.0392157,-0.191932,-0.191931
0.627451,0.0392157,-0.225097,-0.225097
0.647059,0.0392157,-0.257409,-0.257409
0.666667,0.0392157,-0.288745,-0.288744
0.686275,0.0392157,-0.318985,-0.318985
0.705882,0.0392157,-0.348015,-0.348015
0.72549,0.0392157,-0.375726,-0.375725
0.745098,0.0392157,-0.40201,-0.40201
0.764706,0.0392157,-0.42677,-0.426769
0.784314,0.0392157,-0.449911,-0.44991
0.803922,0.0392157,-0.471346,-0.471345
0.823529,0.0392157,-0.490992,-0.490991
0.843137,0.0392157,-0.508776,-0.508775
0.862745,0.0392157,-0.52463,-0.524629
0.882353,0.0392157,-0.538493,-0.538492
0.901961,0.0392157,-0.550314,-0.550313
0.921569,0.0392157,-0.560048,-0.560047
0.941176,0.0392157,-0.567657,-0.567656
0.960784,0.0392157,-0.573113,-0.573112
0.980392,0.0392157,-0.576395,-0.576393
0.0196078,0.0588235,0.796112,0.796111
0.0392157,0.0588235,0.79158,0.791578
0.0588235,0.0588235,0.784044,0.784042
0.0784314,0.0588235,0.773534,0.773533
0.0980392,0.0588235,0.760091,0.760089
0.117647,0.0588235,0.743763,0.743762
0.137255,0.0588235,0.724615,0.724613
